id,contributors,day,score,temperature_deviation,temperature_trend_deviation,timestamp
0e924ebc-736d-4980-ab5c-5ae4a6b84971,"{'activity_balance': 86, 'body_temperature': 99, 'hrv_balance': 78, 'previous_day_activity': 75, 'previous_night': 66, 'recovery_index': 79, 'resting_heart_rate': 100, 'sleep_balance': 75}",11/17/2023,80,0.08,0.03,2023-11-17T00:00:00+00:00
17fe6303-686b-4842-bf3e-3d5e0c72276a,"{'activity_balance': 89, 'body_temperature': 95, 'hrv_balance': 83, 'previous_day_activity': 78, 'previous_night': 71, 'recovery_index': 100, 'resting_heart_rate': 92, 'sleep_balance': 83}",11/18/2023,84,0.13,0.08,2023-11-18T00:00:00+00:00
43264919-96dc-4f35-bfb7-83dd48ff4868,"{'activity_balance': 89, 'body_temperature': 97, 'hrv_balance': 78, 'previous_day_activity': 87, 'previous_night': 81, 'recovery_index': 92, 'resting_heart_rate': 100, 'sleep_balance': 79}",11/19/2023,85,0.1,0.09,2023-11-19T00:00:00+00:00
5cb4d7ba-c414-4404-a372-95700b2a2a73,"{'activity_balance': 89, 'body_temperature': 100, 'hrv_balance': 80, 'previous_day_activity': 85, 'previous_night': 66, 'recovery_index': 100, 'resting_heart_rate': 100, 'sleep_balance': 77}",11/20/2023,84,0.01,0.08,2023-11-20T00:00:00+00:00
ef8d1f9b-bfdb-424d-8e98-178a2ec255bc,"{'activity_balance': 80, 'body_temperature': 100, 'hrv_balance': 81, 'previous_day_activity': 30, 'previous_night': 65, 'recovery_index': 100, 'resting_heart_rate': 81, 'sleep_balance': 78}",11/21/2023,75,0.05,0.11,2023-11-21T00:00:00+00:00
25d06a32-a7d4-4a76-8244-ca0bf18d5285,"{'activity_balance': 95, 'body_temperature': 98, 'hrv_balance': 84, 'previous_day_activity': 86, 'previous_night': 73, 'recovery_index': 89, 'resting_heart_rate': 73, 'sleep_balance': 83}",11/22/2023,82,0.09,0.09,2023-11-22T00:00:00+00:00
a8664686-33c5-4918-a8a1-214bc6a7d4a6,"{'activity_balance': 84, 'body_temperature': 100, 'hrv_balance': 84, 'previous_day_activity': 80, 'previous_night': 66, 'recovery_index': 95, 'resting_heart_rate': 81, 'sleep_balance': 79}",11/23/2023,81,0.01,0.02,2023-11-23T00:00:00+00:00
105b2519-6cb8-4ace-834c-4f1bccfc7246,"{'activity_balance': 89, 'body_temperature': 99, 'hrv_balance': 87, 'previous_day_activity': 82, 'previous_night': 65, 'recovery_index': 92, 'resting_heart_rate': 100, 'sleep_balance': 78}",11/24/2023,85,-0.18,0,2023-11-24T00:00:00+00:00
4c9db342-7e81-46b2-b2c1-27748d0271c2,"{'activity_balance': 81, 'body_temperature': 100, 'hrv_balance': 90, 'previous_day_activity': 84, 'previous_night': 65, 'recovery_index': 77, 'resting_heart_rate': 100, 'sleep_balance': 79}",11/25/2023,82,0.03,0.07,2023-11-25T00:00:00+00:00
4badcbe4-5428-4347-8b6a-53fed396a8ea,"{'activity_balance': 92, 'body_temperature': 86, 'hrv_balance': 93, 'previous_day_activity': 81, 'previous_night': 76, 'recovery_index': 100, 'resting_heart_rate': 96, 'sleep_balance': 82}",11/26/2023,88,0.23,0.06,2023-11-26T00:00:00+00:00
